Data - Rest (2)
t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
24753629,10000,10,0.042,0.004,1.013,1.014,1.01,24.753629,0.003,0.002
24853629,10000,10,0.044,0.004,1.01,1.011,1.012,24.853629,0.003,0.001
24953629,10000,10,0.043,0.004,1.013,1.014,1.011,24.953629,0,0
25053629,10000,10,0.044,0.004,1.013,1.014,1.011,25.053629,0.004,0.001
25153629,10000,10,0.047,0.008,1.009,1.01,1.012,25.153629,0.005,0.001
25253629,10000,10,0.045,0.002,1.014,1.015,1.013,25.253629,0.004,0.003
25353629,10000,10,0.043,0.004,1.01,1.011,1.01,25.353629,0.006,0.002
25453629,10000,10,0.045,0,1.016,1.017,1.012,25.453629,0.002,0
25553629,10000,10,0.045,0.003,1.014,1.015,1.012,25.553629,0.006,0
25653629,10000,10,0.046,0.003,1.008,1.009,1.012,25.653629,0.003,0.002
25753629,10000,10,0.045,0.003,1.011,1.012,1.014,25.753629,0.003,0.003
25853629,10000,10,0.04,0.006,1.009,1.009,1.011,25.853629,0.004,0.001
25953629,10000,10,0.044,0.005,1.012,1.013,1.012,25.953629,0.004,0.001
26053629,10000,10,0.039,0.005,1.008,1.009,1.011,26.053629,0.001,0.001
26153629,10000,10,0.042,0.004,1.009,1.01,1.012,26.153629,0.002,0
26253629,10000,10,0.041,0.004,1.011,1.012,1.012,26.253629,0.003,0.001
26353629,10000,10,0.043,0.003,1.009,1.009,1.011,26.353629,0.007,0.003
26453629,10000,10,0.043,0.001,1.015,1.016,1.014,26.453629,0.002,0.003
26553629,10000,10,0.042,0.005,1.017,1.018,1.011,26.553629,0.002,0.003
26653629,10000,10,0.039,0.004,1.019,1.02,1.014,26.653629,0.01,0.002
26753629,10000,10,0.043,0.004,1.009,1.01,1.012,26.753629,0.006,0.001
26853629,10000,10,0.043,0.001,1.015,1.016,1.011,26.853629,0.006,0.001
26953629,10000,10,0.046,0.002,1.009,1.01,1.012,26.953629,0.001,0
27053629,10000,10,0.042,0.001,1.009,1.009,1.012,27.053629,0.004,0.002
27153629,10000,10,0.043,0.004,1.012,1.013,1.01,27.153629,0.003,0.001
27253629,10000,10,0.042,0.005,1.009,1.01,1.011,27.253629,0.002,0
27353629,10000,10,0.042,0.001,1.007,1.008,1.011,27.353629,0.001,0.001
27453629,10000,10,0.043,0.006,1.008,1.009,1.012,27.453629,0.002,0.002
27553629,10000,10,0.041,0.008,1.007,1.007,1.01,27.553629,0.002,0
27653629,10000,10,0.044,0.005,1.008,1.009,1.01,27.653629,0,0.001
27753629,10000,10,0.041,0.002,1.008,1.009,1.011,27.753629,0.006,0.002
27853629,10000,10,0.042,0.003,1.014,1.015,1.013,27.853629,0.007,0.004
27953629,10000,10,0.046,0.006,1.007,1.008,1.009,27.953629,0.009,0.004
28053629,10000,10,0.041,0.002,1.017,1.017,1.013,28.053629,0.002,0.001
28153629,10000,10,0.042,0.002,1.014,1.015,1.012,28.153629,0.001,0.001
28253629,10000,10,0.043,0.002,1.013,1.014,1.013,28.253629,0.005,0.002
28353629,10000,10,0.041,0.003,1.008,1.009,1.011,28.353629,0.003,0
28453629,10000,10,0.044,0.003,1.005,1.006,1.011,28.453629,0.004,0.002
28553629,10000,10,0.04,0.005,1.01,1.01,1.013,28.553629,0.002,0.003
28653629,10000,10,0.04,0.004,1.011,1.012,1.01,28.653629,0.001,0.001
28753629,10000,10,0.042,0.003,1.012,1.013,1.011,28.753629,0.002,0
28853629,10000,10,0.042,0.004,1.014,1.015,1.011,28.853629,0.009,0.002
28953629,10000,10,0.044,0.005,1.005,1.006,1.013,28.953629,0.003,0.003
29053629,10000,10,0.04,0.005,1.009,1.009,1.01,29.053629,0.005,0.002
29153629,10000,10,0.042,0.001,1.013,1.014,1.012,29.153629,0,0.001
29253629,10000,10,0.043,0.004,1.013,1.014,1.013,29.253629,0.001,0.001
29353629,10000,10,0.042,0.008,1.014,1.015,1.014,29.353629,0.006,0.001
29453629,10000,10,0.042,0.001,1.008,1.009,1.013,29.453629,0.006,0
29553629,10000,10,0.042,0.003,1.014,1.015,1.013,29.553629,0,0.001
29653629,10000,10,0.043,0.004,1.014,1.015,1.014,29.653629,0.002,0.002
29753629,10000,10,0.042,0.001,1.012,1.013,1.012,29.753629,0.003,0.001
29853629,10000,10,0.042,0.007,1.015,1.016,1.011,29.853629,0.005,0.001
29953629,10000,10,0.043,0.005,1.01,1.011,1.012,29.953629,0.005,0.002
30053629,10000,10,0.04,0.005,1.006,1.006,1.01,30.053629,0.005,0.001
30153629,10000,10,0.04,0.007,1.01,1.011,1.011,30.153629,0.001,0.002
30253629,10000,10,0.043,0.008,1.011,1.012,1.013,30.253629,0,0.001
30353629,10000,10,0.04,0.007,1.011,1.012,1.014,30.353629,0.002,0.003
30453629,10000,10,0.04,0.002,1.009,1.01,1.011,30.453629,0.002,0
30553629,10000,10,0.043,0.004,1.007,1.008,1.011,30.553629,0.003,0
30653629,10000,10,0.039,0.003,1.01,1.011,1.011,30.653629,0.006,0.001
30753629,10000,10,0.039,0.007,1.017,1.017,1.01,30.753629,0.002,0.002
30853629,10000,10,0.045,0.004,1.014,1.015,1.012,30.853629,0.003,0.001
30953629,10000,10,0.044,0.001,1.011,1.012,1.013,30.953629,0.002,0.001
31053629,10000,10,0.045,0.004,1.009,1.01,1.012,31.053629,0.002,0.001
31153629,10000,10,0.042,0.007,1.007,1.008,1.011,31.153629,0.001,0.001
31253629,10000,10,0.043,0.002,1.006,1.007,1.01,31.253629,0.005,0.001
31353629,10000,10,0.042,0.005,1.011,1.012,1.011,31.353629,0,0.003
31453629,10000,10,0.044,0.003,1.011,1.012,1.014,31.453629,0.001,0
31553629,10000,10,0.044,0.003,1.012,1.013,1.014,31.553629,0.002,0.002
31653629,10000,10,0.043,0.004,1.014,1.015,1.012,31.653629,0.002,0
31753629,10000,10,0.042,0.006,1.012,1.013,1.012,31.753629,0.001,0
31853629,10000,10,0.045,0.002,1.013,1.014,1.012,31.853629,0.002,0.002
31953629,10000,10,0.041,0.002,1.011,1.012,1.01,31.953629,0.002,0.002
32053629,10000,10,0.042,0.004,1.009,1.01,1.012,32.053629,0.004,0.001
32153629,10000,10,0.043,0.006,1.013,1.014,1.011,32.153629,0.002,0.001
32253629,10000,10,0.043,0.002,1.011,1.012,1.01,32.253629,0.001,0.002
32353629,10000,10,0.043,0.006,1.01,1.011,1.012,32.353629,0.004,0.001
32453629,10000,10,0.038,0.005,1.007,1.007,1.013,32.453629,0.005,0.004
32553629,10000,10,0.043,0.004,1.011,1.012,1.009,32.553629,0.006,0.003
32653629,10000,10,0.043,0.002,1.005,1.006,1.012,32.653629,0.004,0.001
32753629,10000,10,0.043,0.006,1.009,1.01,1.013,32.753629,0.002,0.002
32853629,10000,10,0.043,0.004,1.011,1.012,1.011,32.853629,0.002,0.001
32953629,10000,10,0.04,0.003,1.013,1.014,1.012,32.953629,0.002,0.001
33053629,10000,10,0.044,0.003,1.011,1.012,1.011,33.053629,0.003,0.001
33153629,10000,10,0.042,0.005,1.008,1.009,1.01,33.153629,0.004,0.002
33253629,10000,10,0.044,0.005,1.012,1.013,1.012,33.253629,0.003,0.001
33353629,10000,10,0.044,0.005,1.015,1.016,1.013,33.353629,0.004,0
33453629,10000,10,0.038,0.003,1.012,1.012,1.013,33.453629,0.006,0.005
33553629,10000,10,0.043,0.004,1.005,1.006,1.008,33.553629,0.005,0.003
33653629,10000,10,0.046,0.002,1.01,1.011,1.011,33.653629,0.007,0.001
33753629,10000,10,0.044,0.005,1.017,1.018,1.012,33.753629,0.006,0.002
33853629,10000,10,0.041,0.006,1.011,1.012,1.01,33.853629,0.003,0.001
