t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
17453630,10000,10,-0.619,-2,0.99,2.316,2.694,17.45363,0.554,0.224
17553630,10000,10,2,2,-0.49,2.87,2.47,17.55363,1.373,0.338
17653630,10000,10,1.432,0.014,0.436,1.497,2.808,17.65363,0.079,0.491
17753630,10000,10,-0.515,-1.304,0.217,1.418,2.317,17.75363,1.81,0.203
17853630,10000,10,2,2,-1.555,3.228,2.52,17.85363,0.183,0.409
17953630,10000,10,-2,-2,1.127,3.045,2.111,17.95363,0.834,0.049
18053630,10000,10,2,0.919,-0.207,2.211,2.062,18.05363,0.121,0.494
18153630,10000,10,2,0.602,0.073,2.09,2.556,18.15363,0.388,0.294
18253630,10000,10,-1.027,-1.356,0.026,1.702,2.262,18.25363,1.042,0.034
18353630,10000,10,2,1.861,-0.261,2.744,2.228,18.35363,1.487,0.549
18453630,10000,10,-0.527,-1.031,0.49,1.257,1.679,18.45363,0.748,0.491
18553630,10000,10,2,0.149,-0.006,2.005,2.17,18.55363,0.189,0.381
18653630,10000,10,1.707,0.578,0.227,1.816,2.551,18.65363,0.21,0.479
18753630,10000,10,2,-0.158,0.28,2.026,2.072,18.75363,0.254,0.308
18853630,10000,10,2,0.971,-0.507,2.28,2.38,18.85363,0.902,0.498
18953630,10000,10,-2,-1.945,1.531,3.182,1.882,18.95363,0.244,0.291
19053630,10000,10,2,0.794,-2,2.938,2.173,19.05363,2.23,0.071
19153630,10000,10,0.68,0.088,-0.174,0.708,2.244,19.15363,0.126,0.432
19253630,10000,10,0.776,0.196,0.236,0.834,1.812,19.25363,1.969,0.896
19353630,10000,10,1.809,0.765,-2,2.803,2.708,19.35363,0.242,0.661
19453630,10000,10,-1.291,-1.899,2,3.045,2.047,19.45363,0.015,0.136
19553630,10000,10,2,1.087,-2,3.03,2.183,19.55363,1.462,0.037
19653630,10000,10,0.353,-0.144,1.521,1.568,2.22,19.65363,1.174,0.013
19753630,10000,10,0.393,0.024,-0.007,0.394,2.233,19.75363,2.573,0.435
19853630,10000,10,2,0.898,-2,2.967,2.668,19.85363,0.217,0.284
19953630,10000,10,-1.462,-2,2,3.184,2.384,19.95363,0.299,0.045
20053630,10000,10,2,0.567,-2,2.885,2.339,20.05363,1.149,0.189
20153630,10000,10,-0.234,0.177,1.711,1.736,2.15,20.15363,0.678,0.043
